ID,RegioS,Code_1,Naam_2,SorteringNaam_3,Code_4,Naam_5,Code_6,Naam_7,Code_8,Naam_9,Code_10,Naam_11,Code_12,Naam_13,Code_14,Naam_15,Code_16,Naam_17,Code_18,Naam_19,Code_20,Naam_21,Code_22,Naam_23,Code_24,Naam_25,Code_26,Naam_27,Code_28,Naam_29,Code_30,Naam_31,Code_32,Naam_33,Code_34,Naam_35,Code_36,Naam_37,Code_38,Naam_39,Code_40,Naam_41,Code_42,Naam_43,Code_44,Naam_45,Code_46,Omschrijving_47,Code_48,Omschrijving_49,Inwonertal_50,Omgevingsadressendichtheid_51
0,Aa en Hunze,GM1680    ,Aa en Hunze                                       ,Aa en Hunze                                       ,AM01      ,Groningen                                         ,AR05      ,Noord-Nederland                                   ,CR07      ,Noord-Drenthe                                     ,CS070     ,Noord-Drenthe                                     ,CP0700    ,Noord-Drenthe                                     ,GG0706    ,GGD Drenthe                                       ,JZ04      ,Drenthe                                           ,KK42      ,Noord                                             ,LB2205    ,Drentse Veenkoloniën en Hondsrug                  ,LG02      ,Veenkoloniën en Oldambt                           ,LD01      ,Noord-Nederland                                   ,PV22      ,Drenthe                                           ,.         ,.                                                 ,ES03      ,Drenthe                                           ,MC07      ,Noord- en Midden Drenthe                          ,RA0102    ,Drenthe                                           ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR12      ,"Groningse, Friese en Drentse Zandgronden          ",VT02      ,Drenthe   ,VR03      ,Drenthe                                           ,ZK06      ,Drenthe                                           ,4         ,20 000 tot 50 000 inwoners                        ,5         ,Niet stedelijk           ,25453,281
1,Aalsmeer,GM0358    ,Aalsmeer                                          ,Aalsmeer                                          ,AM18      ,Groot Amsterdam                                   ,AR01      ,Amsterdam                                         ,CR23      ,Groot-Amsterdam                                   ,CS232     ,Overig Groot-Amsterdam                            ,CP2323    ,Haarlemmermeer en omgeving                        ,GG3406    ,GGD Amsterdam                                     ,JZ13      ,Amsterdam-Amstelland                              ,KK41      ,Noordwest                                         ,LB2703    ,Amstelland en Aalsmeer                            ,LG07      ,Westelijk Holland                                 ,LD03      ,West-Nederland                                    ,PV27      ,Noord-Holland                                     ,.         ,.                                                 ,ES16      ,Noord-Holland Zuid                                ,MC21      ,Agglomeratie Amsterdam                            ,RA0717    ,"Amstelland, Kennemerland en Meerlanden            ",RT11      ,Gerechtshof Amsterdam                             ,TR06      ,Hollands-Utrechtse meren                          ,VT01      ,Amsterdam-,VR13      ,Amsterdam-Amstelland                              ,ZK01      ,Amstelland en De Meerlanden                       ,4         ,20 000 tot 50 000 inwoners                        ,4         ,Weinig stedelijk         ,31857,930
2,Aalten,GM0197    ,Aalten                                            ,Aalten                                            ,AM09      ,Achterhoek                                        ,AR03      ,Gelderland                                        ,CR14      ,Achterhoek                                        ,CS140     ,Achterhoek                                        ,CP1400    ,Achterhoek                                        ,GG1413    ,GGD Noord- en Oost-Gelderland                     ,JZ25      ,Achterhoek                                        ,KK43      ,Oost                                              ,LB2508    ,Achterhoek                                        ,LG04      ,Oostelijk Veehouderijgebied                       ,LD02      ,Oost-Nederland                                    ,PV25      ,Gelderland                                        ,.         ,.                                                 ,ES07      ,Achterhoek                                        ,MC13      ,Achterhoek                                        ,RA0207    ,Achterhoek                                        ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR10      ,Achterhoek                                        ,VT14      ,Noord- en ,VR06      ,Noord- en Oost-Gelderland                         ,ZK04      ,Arnhem                                            ,4         ,20 000 tot 50 000 inwoners                        ,4         ,Weinig stedelijk         ,27117,776
3,Achtkarspelen,GM0059    ,Achtkarspelen                                     ,Achtkarspelen                                     ,AM02      ,Friesland                                         ,AR05      ,Noord-Nederland                                   ,CR04      ,Noord-Friesland                                   ,CS040     ,Noord-Friesland                                   ,CP0400    ,Noord-Friesland                                   ,GG7206    ,GGD Fryslân                                       ,JZ02      ,Friesland (Fryslân)                               ,KK42      ,Noord                                             ,LB2103    ,De Wouden                                         ,LG03      ,Noordelijk Weidegebied                            ,LD01      ,Noord-Nederland                                   ,PV21      ,Friesland                                         ,.         ,.                                                 ,ES02      ,Friesland                                         ,MC06      ,Friesland-Oost                                    ,RA0103    ,Friesland                                         ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR17      ,Overig Nederland                                  ,VT04      ,Friesland ,VR02      ,Fryslân                                           ,ZK08      ,Friesland                                         ,4         ,20 000 tot 50 000 inwoners                        ,5         ,Niet stedelijk           ,27836,427
4,Alblasserdam,GM0482    ,Alblasserdam                                      ,Alblasserdam                                      ,AM23      ,Drechtsteden                                      ,AR08      ,Rotterdam                                         ,CR30      ,Zuidoost-Zuid-Holland                             ,CS300     ,Zuidoost-Zuid-Holland                             ,CP3002    ,Overig Zuidoost-Zuid-Holland                      ,GG4816    ,Dienst Gezondheid & Jeugd ZHZ                     ,JZ31      ,Zuid-Holland Zuid                                 ,KK45      ,Zuidwest                                          ,LB2807    ,Alblasserwaard en Vijfherenlanden                 ,LG09      ,Hollands/Utrechts Weidegebied                     ,LD03      ,West-Nederland                                    ,PV28      ,Zuid-Holland                                      ,.         ,.                                                 ,ES18      ,Drechtsteden                                      ,MC30      ,Zuid-Holland-Zuid                                 ,RA1121    ,Zuid-Holland Zuid                                 ,RT13      ,Gerechtshof Den Haag                              ,TR17      ,Overig Nederland                                  ,VT24      ,Zuid-Holla,VR18      ,Zuid-Holland-Zuid                                 ,ZK24      ,Waardenland                                       ,4         ,20 000 tot 50 000 inwoners                        ,2         ,Sterk stedelijk          ,20165,1519
5,Albrandswaard,GM0613    ,Albrandswaard                                     ,Albrandswaard                                     ,AM22      ,Rijnmond                                          ,AR08      ,Rotterdam                                         ,CR29      ,Groot-Rijnmond                                    ,CS291     ,Rijnmond                                          ,CP2910    ,Rijnmond                                          ,GG4607    ,GGD Rotterdam-Rijnmond                            ,JZ29      ,Rijnmond                                          ,KK45      ,Zuidwest                                          ,LB2802    ,Rotterdam en omgeving                             ,LG07      ,Westelijk Holland                                 ,LD03      ,West-Nederland                                    ,PV28      ,Zuid-Holland                                      ,.         ,.                                                 ,ES23      ,Rotterdam/Den Haag                                ,MC29      ,Rijnmond                                          ,RA0919    ,Rijnmond                                          ,RT13      ,Gerechtshof Den Haag                              ,TR04      ,Deltagebied                                       ,VT18      ,Rotterdam-,VR17      ,Rotterdam-Rijnmond                                ,ZK29      ,Zuid-Hollandse Eilanden                           ,4         ,20 000 tot 50 000 inwoners                        ,3         ,Matig stedelijk          ,25589,1035
6,Alkmaar,GM0361    ,Alkmaar                                           ,Alkmaar                                           ,AM15      ,Noord-Holland Noord                               ,AR02      ,Noord-Holland                                     ,CR19      ,Alkmaar en omgeving                               ,CS190     ,Alkmaar en omgeving                               ,CP1900    ,Alkmaar en omgeving                               ,GG2707    ,GGD Hollands-Noorden                              ,JZ06      ,Alkmaar (Noord-Kennemerland)                      ,KK41      ,Noordwest                                         ,LB2706    ,Waterland en N.-Hollandse Droogmakerijen          ,LG08      ,Waterland en Droogmakerijen                       ,LD03      ,West-Nederland                                    ,PV27      ,Noord-Holland                                     ,.         ,.                                                 ,ES15      ,Noord-Holland Noord                               ,MC24      ,Noord-Kennemerland                                ,RA0614    ,Noord-Holland Noord                               ,RT11      ,Gerechtshof Amsterdam                             ,TR17      ,Overig Nederland                                  ,VT17      ,Noord-Holl,VR10      ,Noord-Holland-Noord                               ,ZK18      ,Noord-Holland Noord                               ,6         ,100 000 tot 150 000 inwoners                      ,2         ,Sterk stedelijk          ,109444,2267
7,Almelo,GM0141    ,Almelo                                            ,Almelo                                            ,AM05      ,Twente                                            ,AR06      ,Overijssel                                        ,CR12      ,Twente                                            ,CS120     ,Twente                                            ,CP1200    ,Twente                                            ,GG1106    ,GGD Regio Twente                                  ,JZ14      ,Twente                                            ,KK43      ,Oost                                              ,LB2303    ,Twente                                            ,LG04      ,Oostelijk Veehouderijgebied                       ,LD02      ,Oost-Nederland                                    ,PV23      ,Overijssel                                        ,.         ,.                                                 ,ES04      ,Twente                                            ,MC12      ,Twente                                            ,RA0205    ,Twente                                            ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR11      ,"Twente, Salland en Vechtstreek                    ",VT19      ,Twente    ,VR05      ,Twente                                            ,ZK22      ,Twente                                            ,5         ,50 000 tot 100 000 inwoners                       ,2         ,Sterk stedelijk          ,73080,1590
8,Almere,GM0034    ,Almere                                            ,Almere                                            ,AM11      ,Flevoland                                         ,AR04      ,Midden-Nederland                                  ,CR40      ,Flevoland                                         ,CS400     ,Flevoland                                         ,CP4001    ,Almere                                            ,GG2209    ,GGD Flevoland                                     ,JZ08      ,Flevoland                                         ,KK41      ,Noordwest                                         ,LB2402    ,Zuidelijke IJsselmeerpolders                      ,LG06      ,IJsselmeerpolders                                 ,LD02      ,Oost-Nederland                                    ,PV24      ,Flevoland                                         ,.         ,.                                                 ,ES06      ,Flevoland                                         ,MC18      ,Flevoland                                         ,RA0410    ,Flevoland                                         ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR03      ,IJsselmeerkust                                    ,VT03      ,Flevoland ,VR25      ,Flevoland                                         ,ZK21      ,'t Gooi                                           ,7         ,150 000 tot 250 000 inwoners                      ,2         ,Sterk stedelijk          ,211840,1613
9,Alphen aan den Rijn,GM0484    ,Alphen aan den Rijn                               ,Alphen aan den Rijn                               ,AM19      ,Holland Rijnland                                  ,AR07      ,Den Haag                                          ,CR28      ,Oost-Zuid-Holland                                 ,CS280     ,Oost-Zuid-Holland                                 ,CP2800    ,Oost-Zuid-Holland                                 ,GG4506    ,GGD Hollands-Midden                               ,JZ18      ,Holland Rijnland                                  ,KK45      ,Zuidwest                                          ,LB2805    ,Boskoop en Rijneveld                              ,LG07      ,Westelijk Holland                                 ,LD03      ,West-Nederland                                    ,PV28      ,Zuid-Holland                                      ,.         ,.                                                 ,ES21      ,Holland Rijnland                                  ,MC27      ,Zuid-Holland-Oost                                 ,RA0818    ,Rijnstreek                                        ,RT13      ,Gerechtshof Den Haag                              ,TR17      ,Overig Nederland                                  ,VT10      ,Hollands-M,VR16      ,Hollands-Midden                                   ,ZK28      ,Zuid-Holland Noord                                ,6         ,100 000 tot 150 000 inwoners                      ,2         ,Sterk stedelijk          ,111889,1835
10,Alphen-Chaam,GM1723    ,Alphen-Chaam                                      ,Alphen+Chaam                                      ,AM26      ,Midden-Brabant                                    ,AR11      ,Zeeland-West-Brabant                              ,CR34      ,Midden-Noord-Brabant                              ,CS340     ,Midden-Noord-Brabant                              ,CP3400    ,Midden-Noord-Brabant                              ,GG5206    ,GGD West-Brabant                                  ,JZ35      ,Midden-Brabant                                    ,KK44      ,Zuid                                              ,LB3007    ,De Kempen                                         ,LG13      ,Zuidelijk Veehouderijgebied                       ,LD04      ,Zuid-Nederland                                    ,PV30      ,Noord-Brabant                                     ,.         ,.                                                 ,ES28      ,West-Brabant                                      ,MC34      ,West-Brabant                                      ,RA1323    ,West-Brabant                                      ,RT14      ,Gerechtshof 's-Hertogenbosch                      ,TR13      ,West- en Midden-Brabant                           ,VT21      ,West-braba,VR20      ,Midden- en West-Brabant                           ,ZK25      ,West-Brabant                                      ,3         ,10 000 tot 20 000 inwoners                        ,5         ,Niet stedelijk           ,10213,311
11,Altena,GM1959    ,Altena                                            ,Altena                                            ,AM25      ,West-Brabant                                      ,AR11      ,Zeeland-West-Brabant                              ,CR34      ,Midden-Noord-Brabant                              ,CS340     ,Midden-Noord-Brabant                              ,CP3400    ,Midden-Noord-Brabant                              ,GG5206    ,GGD West-Brabant                                  ,JZ34      ,West Brabant Oost                                 ,KK44      ,Zuid                                              ,LB3003    ,Biesbosch                                         ,LG11      ,Zuidwestelijk Akkerbouwgebied                     ,LD04      ,Zuid-Nederland                                    ,PV30      ,Noord-Brabant                                     ,.         ,.                                                 ,ES28      ,West-Brabant                                      ,MC34      ,West-Brabant                                      ,RA1323    ,West-Brabant                                      ,RT14      ,Gerechtshof 's-Hertogenbosch                      ,TR04      ,Deltagebied                                       ,VT21      ,West-braba,VR20      ,Midden- en West-Brabant                           ,ZK25      ,West-Brabant                                      ,5         ,50 000 tot 100 000 inwoners                       ,4         ,Weinig stedelijk         ,55980,503
12,Ameland,GM0060    ,Ameland                                           ,Ameland                                           ,AM02      ,Friesland                                         ,AR05      ,Noord-Nederland                                   ,CR04      ,Noord-Friesland                                   ,CS040     ,Noord-Friesland                                   ,CP0400    ,Noord-Friesland                                   ,GG7206    ,GGD Fryslân                                       ,JZ02      ,Friesland (Fryslân)                               ,KK42      ,Noord                                             ,LB2104    ,Eilanden                                          ,LG03      ,Noordelijk Weidegebied                            ,LD01      ,Noord-Nederland                                   ,PV21      ,Friesland                                         ,.         ,.                                                 ,ES02      ,Friesland                                         ,MC04      ,Friesland Noord                                   ,RA0103    ,Friesland                                         ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR01      ,Waddeneilanden                                    ,VT04      ,Friesland ,VR02      ,Fryslân                                           ,ZK08      ,Friesland                                         ,1         ,minder dan 5 000 inwoners                         ,5         ,Niet stedelijk           ,3718,254
13,Amersfoort,GM0307    ,Amersfoort                                        ,Amersfoort                                        ,AM14      ,Amersfoort                                        ,AR04      ,Midden-Nederland                                  ,CR17      ,Utrecht                                           ,CS170     ,Utrecht                                           ,CP1702    ,Stadsgewest Amersfoort                            ,GG2514    ,GGD Regio Utrecht                                 ,JZ20      ,Eemland                                           ,KK41      ,Noordwest                                         ,LB2604    ,Eemland                                           ,LG09      ,Hollands/Utrechts Weidegebied                     ,LD03      ,West-Nederland                                    ,PV26      ,Utrecht                                           ,.         ,.                                                 ,ES13      ,Amersfoort                                        ,MC16      ,Eem en Vallei                                     ,RA0513    ,Amersfoort en omgeving                            ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR07      ,Utrechtse Heuvelrug en 't Gooi                    ,VT20      ,Utrecht   ,VR09      ,Utrecht                                           ,ZK23      ,Utrecht                                           ,7         ,150 000 tot 250 000 inwoners                      ,2         ,Sterk stedelijk          ,157279,2298
14,Amstelveen,GM0362    ,Amstelveen                                        ,Amstelveen                                        ,AM18      ,Groot Amsterdam                                   ,AR01      ,Amsterdam                                         ,CR23      ,Groot-Amsterdam                                   ,CS232     ,Overig Groot-Amsterdam                            ,CP2321    ,Overig Agglomeratie Amsterdam                     ,GG3406    ,GGD Amsterdam                                     ,JZ13      ,Amsterdam-Amstelland                              ,KK41      ,Noordwest                                         ,LB2703    ,Amstelland en Aalsmeer                            ,LG07      ,Westelijk Holland                                 ,LD03      ,West-Nederland                                    ,PV27      ,Noord-Holland                                     ,.         ,.                                                 ,ES16      ,Noord-Holland Zuid                                ,MC21      ,Agglomeratie Amsterdam                            ,RA0717    ,"Amstelland, Kennemerland en Meerlanden            ",RT11      ,Gerechtshof Amsterdam                             ,TR17      ,Overig Nederland                                  ,VT01      ,Amsterdam-,VR13      ,Amsterdam-Amstelland                              ,ZK01      ,Amstelland en De Meerlanden                       ,5         ,50 000 tot 100 000 inwoners                       ,1         ,Zeer sterk stedelijk     ,91691,2516
15,Amsterdam,GM0363    ,Amsterdam                                         ,Amsterdam                                         ,AM18      ,Groot Amsterdam                                   ,AR01      ,Amsterdam                                         ,CR23      ,Groot-Amsterdam                                   ,CS231     ,Amsterdam                                         ,CP2311    ,Amsterdam                                         ,GG3406    ,GGD Amsterdam                                     ,JZ13      ,Amsterdam-Amstelland                              ,KK41      ,Noordwest                                         ,LB2706    ,Waterland en N.-Hollandse Droogmakerijen          ,LG08      ,Waterland en Droogmakerijen                       ,LD03      ,West-Nederland                                    ,PV27      ,Noord-Holland                                     ,.         ,.                                                 ,ES16      ,Noord-Holland Zuid                                ,MC21      ,Agglomeratie Amsterdam                            ,RA0616    ,Amsterdam                                         ,RT11      ,Gerechtshof Amsterdam                             ,TR16      ,4 grote steden excl. Noordzeebadplaatsen          ,VT01      ,Amsterdam-,VR13      ,Amsterdam-Amstelland                              ,ZK02      ,Amsterdam                                         ,8         ,250 000 inwoners of meer                          ,1         ,Zeer sterk stedelijk     ,872779,6074
16,Apeldoorn,GM0200    ,Apeldoorn                                         ,Apeldoorn                                         ,AM06      ,Stedendriehoek en Noordwest Veluwe                ,AR03      ,Gelderland                                        ,CR13      ,Veluwe                                            ,CS130     ,Veluwe                                            ,CP1300    ,Veluwe                                            ,GG1413    ,GGD Noord- en Oost-Gelderland                     ,JZ17      ,Midden IJssel / Oost Veluwe                       ,KK43      ,Oost                                              ,LB2501    ,Oostelijke Veluwe                                 ,LG05      ,Centraal Veehouderijgebied                        ,LD02      ,Oost-Nederland                                    ,PV25      ,Gelderland                                        ,.         ,.                                                 ,ES12      ,Stedendriehoek/Cleantech                          ,MC11      ,Stedendriehoek                                    ,RA0206    ,Stedendriehoek & Noord-Veluwe                     ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR08      ,Veluwe en Veluwerand                              ,VT14      ,Noord- en ,VR06      ,Noord- en Oost-Gelderland                         ,ZK03      ,Apeldoorn/Zutphen                                 ,7         ,150 000 tot 250 000 inwoners                      ,2         ,Sterk stedelijk          ,163829,1745
17,Appingedam,GM0003    ,Appingedam                                        ,Appingedam                                        ,AM01      ,Groningen                                         ,AR05      ,Noord-Nederland                                   ,CR02      ,Delfzijl en omgeving                              ,CS020     ,Delfzijl en omgeving                              ,CP0200    ,Delfzijl en omgeving                              ,GG0111    ,GGD Groningen                                     ,JZ01      ,Groningen                                         ,KK42      ,Noord                                             ,LB2003    ,Oostelijke Bouwstreek in Groningen                ,LG02      ,Veenkoloniën en Oldambt                           ,LD01      ,Noord-Nederland                                   ,PV20      ,Groningen                                         ,.         ,.                                                 ,ES01      ,Groningen                                         ,MC02      ,Noord-Groningen-Eemsmond                          ,RA0101    ,Groningen                                         ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR17      ,Overig Nederland                                  ,VT08      ,Groningen ,VR01      ,Groningen                                         ,ZK09      ,Groningen                                         ,3         ,10 000 tot 20 000 inwoners                        ,3         ,Matig stedelijk          ,11644,1066
